POA_CODE,STATE,Weighted average income,Weighted average IRSAD quartile,Mortgage percentage unaffordability,Rent percentage unaffordability,House,Semi-detached,Apartment,House percentage,Semi-detached percentrage,Apartment percentage,Owned outright percentage,Mortage percentage,Renting percentage
2174,NSW,145915.1054,3.203903904,25.72732459,36.58536585,3037,268,476,80.32266596,7.088071939,12.5892621,8.346024977,58.93999391,32.71398111
2175,NSW,138005.2394,2.547206166,31.93277311,38.27160494,589,0,12,98.00332779,0,1.996672213,54.83870968,27.21774194,17.94354839
2176,NSW,107426.6571,2.359565522,27.0123839,54.09930716,13751,1070,482,89.85819774,6.992093054,3.149709207,41.58033864,31.42101879,26.99864257
2177,NSW,101519.4882,2.277616279,25.27312454,53.73831776,4246,683,328,80.76849914,12.99220088,6.239299981,32.00593095,32.91675492,35.07731413
2178,NSW,142187.6552,2.668463612,29.6,46.02272727,1199,24,26,95.99679744,1.92153723,2.081665332,50.33112583,28.38221381,21.28666036
2179,NSW,126160.9783,2.898077321,27.98206278,43.30434783,4960,157,81,95.42131589,3.020392459,1.558291651,21.05375427,52.11177474,26.83447099
2190,NSW,98391.91885,2.374374916,36.84461392,53.07621671,5406,2425,677,63.54019746,28.5025858,7.957216737,31.67667179,34.41295547,33.91037275
2191,NSW,111471.6975,2.417242969,27.60736196,49.00990099,1568,565,264,65.41510221,23.57113058,11.01376721,33.08128544,35.39697543,31.52173913
2192,NSW,94660.52782,2.230801777,30.60156931,46.72395274,2343,499,2751,41.89165028,8.921866619,49.1864831,27.64333987,27.35993024,44.99672989
2193,NSW,125302.873,2.595991561,19.27054981,37.40883741,3292,612,3528,44.2949408,8.234660926,47.47039828,30.5314451,31.11009593,38.35845896
2194,NSW,93199.28866,2.200044653,33.6165693,41.60583942,2161,1067,7362,20.40604344,10.07554297,69.5184136,21.08928979,23.85247773,55.05823247
2195,NSW,80360.86915,2.163072266,32.45924876,49.79728118,2390,406,6661,25.27228508,4.29311621,70.43459871,20.67678847,20.41945445,58.90375708
2196,NSW,96248.07486,2.313559322,34.01264933,50.6122449,6482,1962,2886,57.2109444,17.3168579,25.47219771,29.94939585,33.22317464,36.82742952
2197,NSW,96537.10207,2.271255061,34.98727735,54.52322738,2218,628,306,70.3680203,19.92385787,9.708121827,31.12958066,34.15187004,34.7185493
2198,NSW,108220.7446,2.538177794,31.56146179,56.18448637,2580,340,84,85.88548602,11.31824234,2.796271638,40.85411943,39.26681784,19.87906274
2199,NSW,93957.99,2.260777009,32.14977405,53.75328084,4147,941,1337,64.54474708,14.6459144,20.80933852,28.58449159,32.0226774,39.39283102
2200,NSW,90278.12958,2.258541347,32.2290032,52.72177419,6271,2465,8039,37.38301043,14.69448584,47.92250373,25.30129074,27.78292805,46.91578122
2203,NSW,131531.2503,2.634702431,14.92439185,34.69230769,1854,703,4087,27.90487658,10.58097532,61.5141481,25.36305302,27.65957447,46.97737251
2204,NSW,134141.898,2.604131135,16.25139457,32.94683877,3664,2146,5951,31.15381345,18.24674773,50.59943882,24.31421446,27.89180894,47.7939766
2205,NSW,123360.8293,2.586287165,25.38130622,35.99208965,2251,582,8288,20.24098552,5.233342325,74.52567215,16.19201726,30.46386192,53.34412082
2206,NSW,134419.1114,2.643040265,22.2107438,39.32496075,5748,671,874,78.81530234,9.200603318,11.98409434,45.04753143,33.36399877,21.58846979
